stations,district
Марьино,в Марьино
Перерва,в Марьино
Медведково,в Северном Медведково
Кузнецкий мост,в Мещанском
Проспект Мира,в Мещанском
Рижская,в Мещанском
Сухаревская,в Мещанском
Трубная,в Мещанском
Ржевская 2018 год,в Мещанском
Волоколамская,в Митино
Митино,в Митино
Пенягино,в Митино
Пятницкое шоссе,в Митино
Рабочий Посёлок,в Можайском
Сетунь,в Можайском
Давыдково 2018 год,в Можайском
Москворечье,в Москворечье-Сабурово
Каширская 2018 год,в Москворечье-Сабурово
Говорово,в Московском районе
Румянцево,в Московском районе
Саларьево,в Московском районе
Каширская,в Нагатино-Садовники
Коломенская,в Нагатинском Затоне
Кленовый бульвар 2018 год,в Нагатинском Затоне
Варшавская,в Нагорном
Верхние Котлы,в Нагорном
Нагатинская,в Нагорном
Нагорная,в Нагорном
Некрасовка,в Некрасовке
Калитники,в Нижегородском
Нижегородская,в Нижегородском
Новохохловская,в Нижегородском
Новогиреево,в Новогиреево
Новокосино,в Новокосино
Боровское шоссе,в Новопеределкино
Новопеределкино,в Новопеределкино
Новые Черёмушки,в Обручевском
Воронцовская 2018 год,в Обручевском
Орехово,в Северном Орехово-Борисово
Домодедовская,в Южном Орехово-Борисово
ВДНХ,в Останкино
Выставочный центр,в Останкино
Телецентр,в Останкино
Улица Академика Королёва,в Останкино
Улица Сергея Эйзенштейна,в Останкино
Владыкино,в Отрадном
Отрадное,в Отрадном
Озёрная,в Очаково-Матвеевское
Аминьевское шоссе 2018 год,в Очаково-Матвеевское
Андроновка,в Перово
Перово,в Перово
Шоссе Энтузиастов,на Соколиной Горе
Печатники,в Печатнике
Угрешская,в Печатнике
Печатники 2018 год,в Печатнике
Спартак,в Покровском-Стрешнево
Тушинская,в Покровском-Стрешнево
Щукинская,в Щукино
Преображенская площадь,в Преображенском
Черкизовская,в Преображенском
Баррикадная,на Пресне
Беговая,в Хорошевском
Выставочная,на Пресне
Деловой центр,на Пресне
Краснопресненская,на Пресне
Международная,на Пресне
Тестовская,на Пресне
Улица 1905 года,на Пресне
Шелепиха,на Пресне
Проспект Вернадского,в районе Вернадского
Проспект Вернадского 2018 год,в районе Вернадского
Ломоносовский проспект,в Раменках
Мичуринский проспект,в Раменках
Раменки,в Раменках
Ботанический сад,в Свиблово
Ростокино,в Ростокино
Остафьево,в Рязановском
Окская,в Рязанском
Рязанский проспект,в Рязанском
Стахановская,в Рязанском
Дмитровская,в Тимирязевском
Свиблово,в Свиблово
Панфиловская,в районе Сокол
Покровское-Стрешнево,в районе Сокол
Стрешнево,в районе Сокол
Семеновская,на Соколиной Горе
Электрозаводская,на Соколиной Горе
Сокольники,в Сокольниках
Стромынка 2018 год,в Сокольниках
Солнцево,в Солнцево
Коммунарка,в Сосенском
Ольховая,в Сосенском
Прокшино,в Сосенском
Строгино,в Строгино
Крестьянская застава,на Таганке
Марксистская,на Таганке
Площадь Ильича,на Таганке
Пролетарская,на Таганке
Римская,на Таганке
Таганская,на Таганке
Белорусская,в Тверском
Библиотека имени Ленина,в Тверском
Достоевская,в Тверском
Китай-город,в Тверском
Лубянка,в Тверском
Маяковская,в Тверском
Менделеевская,в Тверском
Новослободская,в Тверском
Охотный ряд,в Тверском
Площадь Революции,в Тверском
Пушкинская,в Тверском
Тверская,в Тверском
Театральная,в Тверском
Цветной бульвар,в Тверском
Чеховская,в Тверском
Волжская,в Текстильщиках
Текстильщики,в Текстильщиках
Текстильщики 2018 год,в Текстильщиках
Гражданская,в Тимирязевском
Петровско-Разумовская,в Тимирязевском
Тимирязевская,в Тимирязевском
Петровско-Разумовская 2016 год,в Тимирязевском
Тропарёво,в Тропарево-Никулино
Юго-Западная,в Тропарево-Никулино
Планерная,в Северном Тушино
Сходненская,в Южном Тушино
Трикотажная,в Южном Тушино
Багратионовская,в Филевском парке
Филевский парк,в Филевском парке
Пионерская,в Фили-Давыдково
Славянский бульвар,в Фили-Давыдково
Воробьевы горы,в Хамовниках
Лужники,в Хамовниках
Парк Культуры,в Хамовниках
Спортивная,в Хамовниках
Фрунзенская,в Хамовниках
Волхонка 2020 год,в Хамовниках
Плющиха 2020 год,в Хамовниках
Ховрино,в Ховрино
Зорге,в Хорошевском
Полежаевская,в Хорошевском
Хорошёво,в Хорошевском
Хорошёвская,в Хорошевском
ЦСКА,в Хорошевском
Кантемировская,в Царицыно
Царицыно,в Царицыно
Калужская,в Черемушках
Профсоюзная,в Черемушках
Чертановская,в Северном Чертаново
Южная,в Северном Чертаново
Пражская,в Центральном Чертаново
Аннино,в Южном Чертаново
Красный Строитель,в Южном Чертаново
Лесопарковая,в Южном Чертаново
Улица академика Янгеля,в Южном Чертаново
Щербинка,в Щербинке
Октябрьское поле,в Щукино
Волгоградский проспект,в Южнопортовом
Дубровка,в Южнопортовом
Кожуховская,в Южнопортовом
Октябрьская,на Якиманке
Полянка,на Якиманке
Битцевский парк,в Ясенево
Новоясеневская,в Ясенево
Теплый стан,в Ясенево
Ясенево,в Ясенево
